name,id,lat,lon,capacity
"Hardwick Street, Clerkenwell",170,51.52784273,-0.108068155,30
"Collingham Gardens, Earl's Court",171,51.4916156,-0.186753859,14
"Sumner Place, South Kensington",172,51.49121192,-0.173715911,19
"Waterloo Road, South Bank",173,51.50486,-0.113001,15
"Strand, Strand",174,51.512529,-0.115163,36
"Appold Street, Liverpool Street",175,51.52174384,-0.0811189,26
"Gloucester Terrace, Bayswater",176,51.51791921,-0.188098863,23
"Ashley Place, Victoria",177,51.49616092,-0.140947636,25
"Warwick Square, Pimlico",178,51.48985626,-0.141923621,19
"North Audley Street, Mayfair",180,51.5129118,-0.153645496,17
"Belgrave Square, Belgravia",181,51.49941247,-0.152317537,21
"Bell Street , Marylebone",182,51.52202903,-0.165842551,18
"Riverlight North, Nine Elms",183,51.482362,-0.13612398,24
"Portland Place, Marylebone",184,51.52071513,-0.14521173,34
"Alderney Street, Pimlico",185,51.48805753,-0.140741432,14
"South Wharf Road, Paddington",186,51.51733558,-0.175810943,16
"Queen's Gate (South), South Kensington",187,51.49247977,-0.178433004,25
"Nutford Place, Marylebone",188,51.5165179,-0.164393768,18
"Claremont Square, Angel",189,51.53166681,-0.109914711,18
"Rampayne Street, Pimlico",190,51.48997562,-0.132845681,21
"Hyde Park Corner, Hyde Park",191,51.50311799,-0.153520935,28
"Wardour Street, Soho",192,51.51251523,-0.133201961,16
"Bankside Mix, Bankside",193,51.50581776,-0.100186337,60
"Hop Exchange, The Borough",194,51.50462759,-0.091773776,49
"Milroy Walk, South Bank",195,51.50724437,-0.106237501,30
"Union Street, The Borough",196,51.50368837,-0.098497684,17
"Stamford Street, South Bank",197,51.50556905,-0.111606696,27
"Great Tower Street, Monument",199,51.51048489,-0.082989638,24
"LMU Commercial Road, Whitechapel",200,51.51492456,-0.066078037,14
"Dorset Square, Marylebone",201,51.5225965,-0.161113413,16
"Leman Street, Aldgate",202,51.51236389,-0.06954201,37
"Margery Street, Clerkenwell",204,51.52659961,-0.112432615,19
"New Road 1 , Whitechapel",206,51.518154,-0.062697,36
"Grosvenor Crescent, Belgravia",207,51.50135267,-0.153194766,18
"Mallory Street, Marylebone",208,51.52505151,-0.166304359,20
"Denyer Street, Knightsbridge",209,51.49358391,-0.165101392,30
